hotel_name,price,hotel_ulr,rating,reviews,address,cancellations,prepayment,room_description,nights,adults
hotel tej plaza near igi airport delhi,2339,https://www.booking.com/hotel/in/99-hotels-skyva-suites.html,10,5,"chanakyapuri, new delhi",free cancellation,no  needed,deluxe room,2,2
hotel city empire new delhi city centre,10692,https://www.booking.com/hotel/in/city-emmpire-dx.html,8,338,"paharganj, new delhi (chandni chowk)",free cancellation,no  needed,superior double or twin room,2,2
ibis new delhi aerocity - an accor brand,21900,https://www.booking.com/hotel/in/ibis-delhi-airport.html,6.9,7365,"aerocity, new delhi (aerocity)",free cancellation,Unknown,standard queen room,2,2
national ymca hostel,6882,https://www.booking.com/hotel/in/national-ymca-hostel.html,7.4,38,"connaught place, new delhi",free cancellation,no  needed,standard double room,2,2
hotel geet deluxe at new delhi railway station,5039,https://www.booking.com/hotel/in/geet-deluxe.html,8.7,13,"paharganj, new delhi (chandni chowk)",free cancellation,no  needed,deluxe double room,2,2
"the ashok, new delhi",23800,https://www.booking.com/hotel/in/the-ashok.html,6.1,1802,"chanakyapuri, new delhi",free cancellation,Unknown,executive room,2,2
"supernova, spira tower entire 1 bhk apartments",9178,https://www.booking.com/hotel/in/40th-floor-river-view.html,7,26,new delhi,free cancellation,no  needed,one-bedroom apartment,2,2
bungalow 157,23998,https://www.booking.com/hotel/in/bungalow-157.html,9.2,232,new delhi,free cancellation,no  needed,double room,2,2
"hotel samrat, new delhi",21998,https://www.booking.com/hotel/in/samrat-new-delhi.html,5.9,456,"chanakyapuri, new delhi",free cancellation,Unknown,executive deluxe room,2,2
hotel the royal plaza,24300,https://www.booking.com/hotel/in/ramada-plaza-new-delhi.html,5.9,819,new delhi,free cancellation,Unknown,standard twin room,2,2
hotel picasso prive naraina delhi - couple friendly local ids accepted,5670,https://www.booking.com/hotel/in/picasso-prive.html,6.6,111,new delhi,free cancellation,no  needed,deluxe double room,2,2
new delhi ymca tourist hostel,10320,https://www.booking.com/hotel/in/new-delhi-ymca-tourist-hostel.html,7.7,1725,"connaught place, new delhi",free cancellation,no  needed,standard double or twin room,2,2
resto relax hotel & restaurant,2731,https://www.booking.com/hotel/in/o-restro-relax-restaurant.html,0,0,"rohini, new delhi",free cancellation,no  needed,classic triple room,2,2
bungalow 99,23998,https://www.booking.com/hotel/in/bungalow-99.html,9,401,new delhi,free cancellation,no  needed,green room,2,2
aloft new delhi aerocity,25900,https://www.booking.com/hotel/in/aloft-new-delhi-aerocity.html,8.4,3483,"aerocity, new delhi (aerocity)",free cancellation,no  needed,"2 twin/single beds, city view, aloft room",2,2
"svelte delhi, a member of radisson individuals",17641,https://www.booking.com/hotel/in/svelte-and-personal-suite.html,8,460,"saket, new delhi",free cancellation,no  needed,superior room,2,2
"pride plaza hotel, aerocity new delhi",29098,https://www.booking.com/hotel/in/pride-plaza-aerocity-new-delhi.html,8.3,4452,"aerocity, new delhi (aerocity)",free cancellation,no  needed,superior twin,2,2
holiday inn new delhi aerocity by ihg,31248,https://www.booking.com/hotel/in/holiday-inn-new-delhi-international-airport.html,8.9,7281,"aerocity, new delhi (aerocity)",free cancellation,no  needed,standard king room,2,2
"uds villa scandinavian - next to vfs, walking to connaught place",13340,https://www.booking.com/hotel/in/uds-villa-new-delhi1.html,8.2,1020,"connaught place, new delhi",free cancellation,Unknown,deluxe twin room,2,2
moustache delhi,9933,https://www.booking.com/hotel/in/moustache-delhi.html,8.5,358,"new friends colony, new delhi",free cancellation,Unknown,deluxe double room,2,2
